id,host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
23221816,61702707,3/5/2016,within an hour,t,1,t,f,Entire rental unit,4,2 baths,2,3,$101.00 ,3,1125,14,44,74,136,114,23,4,4.96,4.97,4.95,4.99,4.76,4.93,3.4
23230947,39803861,7/28/2015,within an hour,t,1,t,t,Entire rental unit,3,1 bath,1,1,$159.00 ,2,1125,3,8,23,137,295,63,2,4.95,4.98,4.95,4.94,4.97,4.85,6.68
23323007,37360129,7/2/2015,within an hour,t,1,t,t,Entire residential home,6,1 bath,3,5,$214.00 ,1,1125,4,27,57,57,92,1,1,4.89,4.97,4.59,5,4.98,4.9,2.45
23339762,71216954,5/9/2016,within an hour,f,0,t,t,Entire residential home,10,3.5 baths,4,6,$391.00 ,2,1125,16,32,50,186,7,7,3,5,5,5,5,5,5,2.12
23340736,7795,2/12/2009,within a day,f,2,t,t,Entire residential home,4,2 baths,3,4,$243.00 ,30,90,0,0,0,108,22,0,0,5,4.95,4.91,4.95,4.86,4.82,0.51
23379514,39836455,7/28/2015,within an hour,t,3,t,t,Entire cottage,6,3 baths,3,3,$230.00 ,1,365,15,35,63,295,49,17,1,4.94,4.9,4.98,5,4.84,4.86,2.19
23382695,116837540,2/17/2017,within an hour,f,6,t,t,Entire residential home,10,3.5 baths,5,9,"$1,000.00 ",2,180,30,60,90,365,1,0,0,5,4,4,5,5,5,0.05
23437411,174827122,2/22/2018,within an hour,f,1,t,f,Entire residential home,4,1 bath,1,1,$167.00 ,2,1125,0,0,4,29,102,3,0,4.95,4.97,4.97,4.97,4.81,4.95,2.82
23437711,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,2,1 bath,,1,$234.00 ,2,1125,27,57,87,362,148,92,3,4.3,4.36,4.44,4.59,4.77,4.39,4.16
23442705,116837540,2/17/2017,within an hour,f,6,t,t,Entire residential home,10,3.5 baths,5,8,$714.00 ,2,160,29,59,89,327,6,0,0,4.83,4.83,4.5,5,4.33,4.83,0.15
23450415,1350940,10/30/2011,within an hour,t,13,t,t,Entire rental unit,4,1 bath,2,2,$311.00 ,3,365,13,26,29,29,117,37,3,4.95,4.96,4.98,4.98,4.93,4.71,4.28
23451563,1350940,10/30/2011,within an hour,t,13,t,t,Entire rental unit,6,2 baths,3,3,$438.00 ,3,365,13,23,32,36,77,18,2,4.94,4.97,5,4.95,5,4.76,1.82
23452225,22065198,10/2/2014,within an hour,t,2,t,t,Entire residential home,8,4 baths,4,7,$608.00 ,2,1125,14,32,53,264,98,30,1,4.98,4.95,4.93,4.95,4.75,4.78,2.23
23453819,8675803,6/23/2016,within an hour,t,1,t,t,Entire residential home,6,2 baths,3,3,$200.00 ,1,1125,16,32,61,136,107,23,2,4.84,4.93,4.77,4.9,4.91,4.91,2.57
23470568,92546339,8/29/2016,within an hour,t,2,t,t,Entire residential home,6,1 bath,3,3,$112.00 ,3,30,14,30,60,143,113,30,2,4.84,4.91,4.83,4.98,4.68,4.84,3.76
